id,sex,race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,is_recid,is_violent_recid,two_year_recid,high_risk
1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
3,1,0,0,0.0,0.0,0.0,0.0,0,1,1,1,0
4,1,0,1,0.0,0.0,0.058823529411764705,0.10526315789473684,0,1,0,1,0
5,1,0,1,0.0,0.07692307692307693,0.0,0.02631578947368421,0,0,0,0,1
6,1,0,0,0.0,0.0,0.0,0.05263157894736842,0,0,0,0,0
7,1,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0
8,1,1,0,0.0,0.0,0.0,0.3684210526315789,0,1,0,1,0
9,1,0,0,0.0,0.0,0.0,0.07894736842105263,0,0,0,0,0
10,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0,0
13,1,1,1,0.0,0.0,0.0,0.02631578947368421,0,1,1,1,0
14,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
15,1,0,1,0.0,0.0,0.0,0.07894736842105263,1,1,0,1,0
16,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0,0
18,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
19,0,1,0,0.0,0.0,0.0,0.02631578947368421,0,1,0,1,0
20,1,0,0,0.0,0.0,0.0,0.18421052631578946,0,1,0,1,0
21,1,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0
22,1,0,0,0.0,0.0,0.0,0.07894736842105263,0,0,0,0,1
23,1,1,0,0.0,0.0,0.0,0.15789473684210525,0,1,1,1,0
24,1,1,0,0.0,0.0,0.0,0.13157894736842105,0,1,0,1,0
25,1,0,0,0.0,0.0,0.0,0.3421052631578947,0,1,0,1,0
26,1,0,1,0.0,0.0,0.0,0.02631578947368421,0,1,0,1,1
27,1,1,0,0.0,0.0,0.0,0.0,1,1,0,1,0
28,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0
30,1,0,1,0.0,0.0,0.0,0.02631578947368421,0,1,0,1,0
32,1,1,0,0.0,0.0,0.0,0.02631578947368421,1,0,0,0,0
33,1,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0
37,1,0,0,0.0,0.0,0.0,0.21052631578947367,0,1,1,1,0
38,0,1,0,0.0,0.0,0.0,0.07894736842105263,0,0,0,0,0
39,1,0,0,0.0,0.0,0.058823529411764705,0.13157894736842105,0,1,0,1,1
40,1,0,0,0.0,0.0,0.0,0.0,0,1,1,1,1
41,1,1,0,0.0,0.0,0.0,0.23684210526315788,0,1,0,1,1
42,1,0,0,0.0,0.0,0.0,0.10526315789473684,0,1,0,1,1
45,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
50,1,0,0,0.0,0.0,0.0,0.18421052631578946,0,1,0,1,0
51,1,1,0,0.0,0.0,0.11764705882352941,0.15789473684210525,1,0,0,0,1
52,0,1,0,0.0,0.0,0.0,0.10526315789473684,1,1,0,1,0
53,1,1,1,0.0,0.0,0.0,0.02631578947368421,1,1,0,1,0
54,1,0,0,0.1,0.07692307692307693,0.1764705882352941,0.5526315789473684,0,1,0,1,1
55,1,1,0,0.0,0.0,0.0,0.0,1,0,0,0,0
56,0,0,1,0.0,0.0,0.0,0.05263157894736842,0,0,0,0,1
57,1,0,0,0.0,0.0,0.0,0.05263157894736842,1,0,0,0,0
59,1,1,0,0.0,0.0,0.0,0.05263157894736842,1,1,0,1,0
61,0,0,0,0.0,0.0,0.0,0.18421052631578946,0,0,0,0,0
64,1,0,0,0.0,0.0,0.0,0.0,0,1,0,1,1
66,1,1,0,0.0,0.0,0.0,0.23684210526315788,1,1,1,1,1
67,1,0,0,0.05,0.0,0.23529411764705882,0.3421052631578947,0,1,1,1,1
68,1,1,0,0.0,0.0,0.0,0.0,1,0,0,0,0
69,1,0,0,0.0,0.0,0.0,0.10526315789473684,1,1,0,1,0
70,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
71,1,1,0,0.0,0.0,0.0,0.02631578947368421,0,1,0,1,0
72,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
75,1,1,0,0.0,0.0,0.0,0.5263157894736842,0,1,0,1,0
77,0,0,0,0.0,0.0,0.0,0.02631578947368421,0,0,0,0,0
79,1,0,0,0.0,0.0,0.058823529411764705,0.39473684210526316,0,1,0,0,0
80,1,0,1,0.0,0.0,0.0,0.05263157894736842,0,1,0,1,0
83,1,0,0,0.0,0.0,0.0,0.0,1,0,0,0,1
84,1,0,0,0.0,0.0,0.0,0.10526315789473684,1,0,0,0,0
85,1,1,0,0.0,0.0,0.0,0.21052631578947367,0,0,0,0,0
87,1,0,0,0.0,0.0,0.0,0.13157894736842105,0,0,0,0,0
88,1,0,0,0.0,0.0,0.0,0.2631578947368421,1,1,0,1,1
90,1,0,0,0.05,0.07692307692307693,0.11764705882352941,0.39473684210526316,0,1,0,1,1
91,1,1,0,0.0,0.0,0.0,0.10526315789473684,1,1,0,1,0
93,1,0,1,0.0,0.0,0.058823529411764705,0.02631578947368421,0,1,0,1,0
95,1,0,1,0.0,0.07692307692307693,0.11764705882352941,0.05263157894736842,0,1,0,1,1
96,1,0,0,0.0,0.0,0.0,0.10526315789473684,0,1,0,1,1
97,1,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0
98,1,0,0,0.0,0.07692307692307693,0.0,0.15789473684210525,0,1,0,1,0
99,1,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0
100,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0
101,1,0,0,0.0,0.0,0.0,0.15789473684210525,0,1,1,1,0
102,1,0,1,0.0,0.0,0.0,0.02631578947368421,0,0,0,0,0
105,1,0,0,0.0,0.0,0.0,0.02631578947368421,1,0,0,0,0
107,1,0,0,0.0,0.0,0.0,0.13157894736842105,0,1,0,1,0
108,1,1,0,0.0,0.0,0.058823529411764705,0.02631578947368421,0,1,0,1,0
111,1,0,0,0.0,0.0,0.0,0.05263157894736842,0,0,0,0,0
113,1,0,1,0.0,0.0,0.0,0.02631578947368421,1,1,0,1,0
