,model_name,cv_seed,clas_acc,f1-micro,f1-macro,a1_dp,a1_deqodds,a1_deqopp,a1_TN_g0,a1_FP_g0,a1_FN_g0,a1_TP_g0,a1_TN_g1,a1_FP_g1,a1_FN_g1,a1_TP_g1,a2_dp,a2_deqodds,a2_deqopp,a2_TN_g0,a2_FP_g0,a2_FN_g0,a2_TP_g0,a2_TN_g1,a2_FP_g1,a2_FN_g1,a2_TP_g1,wc_spd,wc_aod,wc_eod,last_cosine_similarity
0,MultAdvBin4DP,13,0.8370113,0.8370112559241706,0.7748150063435953,0.79866207,0.89882106,0.90029234,5450.0,839.0,1010.0,1825.0,3750.0,119.0,233.0,278.0,0.8514818,0.8833302,0.84781915,7629.0,916.0,1089.0,1955.0,1571.0,42.0,154.0,148.0,0.72142035,0.76492935,0.6694972,0.20802641
1,MultAdvBin4DP,29,0.8310871,0.8310870853080569,0.7680216724611749,0.78678846,0.87443715,0.8602568,5378.0,900.0,1007.0,1835.0,3754.0,124.0,250.0,256.0,0.8226496,0.81224203,0.7177334,7558.0,988.0,1060.0,1976.0,1574.0,36.0,197.0,115.0,0.70844555,0.748561,0.64753467,0.14354852
2,MultAdvBin4DP,42,0.8330865,0.8330864928909952,0.7753491135527784,0.775287,0.88397545,0.88932914,5255.0,964.0,939.0,1922.0,3793.0,132.0,219.0,280.0,0.8202841,0.8169936,0.7269282,7509.0,1049.0,980.0,2080.0,1539.0,47.0,178.0,122.0,0.70112056,0.7892216,0.70262897,0.27465296
3,MultAdvBin4DP,55,0.8326422,0.8326421800947867,0.7696435821241782,0.8007518,0.89403903,0.88387346,5440.0,821.0,1062.0,1833.0,3713.0,136.0,241.0,258.0,0.8500318,0.8439345,0.75684315,7643.0,900.0,1112.0,1966.0,1510.0,57.0,191.0,125.0,0.72528124,0.76170325,0.657029,0.3445704
4,MultAdvBin4DP,73,0.83390105,0.8339010663507109,0.773653303915671,0.79171693,0.8934357,0.8861865,5383.0,840.0,1041.0,1893.0,3731.0,138.0,224.0,254.0,0.8167505,0.81084615,0.7103041,7517.0,941.0,1080.0,2041.0,1597.0,37.0,185.0,106.0,0.7058755,0.7741278,0.68974376,0.46920627
5,MultAdvBin4EqOdds,13,0.8370853,0.8370853080568721,0.7749898926921248,0.7986712,0.90048975,0.9042062,5448.0,841.0,1010.0,1825.0,3751.0,118.0,231.0,280.0,0.85122293,0.8829432,0.8471622,7628.0,917.0,1087.0,1957.0,1571.0,42.0,154.0,148.0,0.7222436,0.77224565,0.68449694,0.21096466
6,MultAdvBin4EqOdds,29,0.83160543,0.8316054502369669,0.7685616754526734,0.78755605,0.87499464,0.8602568,5385.0,893.0,1007.0,1835.0,3754.0,124.0,250.0,256.0,0.8293203,0.82193494,0.73187137,7571.0,975.0,1064.0,1972.0,1568.0,42.0,193.0,119.0,0.71157336,0.7510469,0.6490755,0.1443126
7,MultAdvBin4EqOdds,42,0.8333827,0.8333827014218009,0.7755207705347074,0.77907765,0.88963175,0.89743835,5267.0,952.0,945.0,1916.0,3788.0,137.0,216.0,283.0,0.819296,0.8109461,0.7132679,7517.0,1041.0,979.0,2081.0,1538.0,48.0,182.0,118.0,0.70507485,0.7815826,0.6865847,0.27106664
8,MultAdvBin4EqOdds,55,0.83234596,0.832345971563981,0.7689894230248446,0.8015048,0.89527786,0.8862914,5442.0,819.0,1069.0,1826.0,3714.0,135.0,241.0,258.0,0.8539779,0.84986943,0.76609623,7649.0,894.0,1121.0,1957.0,1507.0,60.0,189.0,127.0,0.7292383,0.7713006,0.67413235,0.3447154
9,MultAdvBin4EqOdds,73,0.8346416,0.8346415876777251,0.77480306098852,0.7903832,0.89181393,0.8834598,5383.0,840.0,1033.0,1901.0,3733.0,136.0,224.0,254.0,0.81926155,0.81907487,0.726525,7519.0,939.0,1077.0,2044.0,1597.0,37.0,180.0,111.0,0.7065518,0.7833851,0.70825845,0.47190398
10,MultAdvBin4EqOpp,13,0.8324941,0.8324940758293838,0.7697829858724483,0.7902504,0.8888974,0.8908603,5391.0,898.0,1011.0,1824.0,3754.0,115.0,238.0,273.0,0.8496876,0.88692564,0.86070955,7575.0,970.0,1098.0,1946.0,1570.0,43.0,151.0,151.0,0.7189956,0.7764883,0.7010363,0.20066613
