,model_name,cv_seed,clas_acc,f1-micro,f1-macro,a1_dp,a1_deqodds,a1_deqopp,a2_dp,a2_deqodds,a2_deqopp,wc_spd,wc_aod,wc_eod,last_cosine_similarity
0,MultAdvCat4DP,13,0.8347897,0.8347896919431279,0.7720884865212856,0.7998309,0.902045,0.90773356,0.22013521,0.33929956,0.22013521,0.68713486,0.5982325,0.34719014,-0.027099121
1,MultAdvCat4DP,29,0.8307909,0.8307908767772512,0.7675655634975285,0.7883588,0.8785861,0.86829686,0.21568727,0.31918943,0.21568727,0.6921663,0.5416666,0.08333331,-0.017800327
2,MultAdvCat4DP,42,0.8336789,0.8336789099526066,0.7749133167200027,0.78661287,0.8976879,0.9067825,0.24856961,0.41626406,0.24856961,0.6676606,0.57684195,0.3160503,-0.07647199
3,MultAdvCat4DP,55,0.83242005,0.8324200236966824,0.7700959250447561,0.79804444,0.8935779,0.88608587,0.22732508,0.3587606,0.22732508,0.68757737,0.59992427,0.34528303,-0.046321865
4,MultAdvCat4DP,73,0.83345675,0.8334567535545023,0.7738932068972538,0.7847323,0.88327855,0.8713424,0.24161083,0.38122213,0.24161083,0.6743755,0.58791983,0.32900113,-0.08732514
5,MultAdvCat4EqOdds,13,0.8364929,0.8364928909952607,0.7740259163881631,0.80101836,0.9036346,0.908985,0.21901345,0.33873868,0.21901345,0.68875074,0.5993251,0.3468052,-0.0033816355
6,MultAdvCat4EqOdds,29,0.83190167,0.8319016587677726,0.768919673117852,0.79081506,0.8817123,0.8715457,0.21646011,0.3155641,0.21646011,0.6929097,0.5416666,0.08333331,-0.114917986
7,MultAdvCat4EqOdds,42,0.83404917,0.8340491706161137,0.7754373967136017,0.78616655,0.8990546,0.9104409,0.2496025,0.43581897,0.2496025,0.6666666,0.5756124,0.31414413,-0.10997957
8,MultAdvCat4EqOdds,55,0.83234596,0.832345971563981,0.7697261541109993,0.7989067,0.8948037,0.88815844,0.22629249,0.34917617,0.22629249,0.6889384,0.6014199,0.34716982,-0.09171835
9,MultAdvCat4EqOdds,73,0.83219784,0.8321978672985783,0.7724422081757387,0.78454876,0.8873211,0.8820965,0.24325174,0.37741292,0.24325174,0.6723968,0.5866223,0.32974374,-0.17131416
10,MultAdv4EqOpp,13,0.8331605,0.8331605450236966,0.7701854910429256,0.79593116,0.8970199,0.9022154,0.22117066,0.33550698,0.22117066,0.6846489,0.5964973,0.34757507,0.16463806
11,MultAdv4EqOpp,29,0.8293839,0.8293838862559242,0.7661531346085456,0.7809899,0.86700016,0.8516479,0.21887761,0.318614,0.21887761,0.6870864,0.5416666,0.08333331,-0.041065518
12,MultAdv4EqOpp,42,0.833753,0.833752962085308,0.7761329664648196,0.77617383,0.8863344,0.89333713,0.25175428,0.4211244,0.25175428,0.66120017,0.5698838,0.30766296,0.45115215
13,MultAdv4EqOpp,55,0.8307909,0.8307908767772512,0.7680080800923311,0.7960323,0.88721275,0.8747526,0.23415911,0.38007498,0.23415911,0.6746988,0.60069275,0.34792453,-0.4249076
14,MultAdv4EqOpp,73,0.8330865,0.8330864928909952,0.7745266877799692,0.7797204,0.8775696,0.86384416,0.24549717,0.37853563,0.24549717,0.66881025,0.5817027,0.32083178,0.8596861
