,model_name,cv_seed,clas_acc,f1-micro,f1-macro,a1_dp,a1_deqodds,a1_deqopp,a1_TN_g0,a1_FP_g0,a1_FN_g0,a1_TP_g0,a1_TN_g1,a1_FP_g1,a1_FN_g1,a1_TP_g1,a2_dp,a2_deqodds,a2_deqopp,a2_TN_g0,a2_FP_g0,a2_FN_g0,a2_TP_g0,a2_TN_g1,a2_FP_g1,a2_FN_g1,a2_TP_g1,wc_spd,wc_aod,wc_eod,last_cosine_similarity
0,MultAdvBin4DP,13,0.7310606,0.7310606060606061,0.6440950712749747,0.85514355,0.8203703,0.809465,1042.0,144.0,287.0,199.0,252.0,103.0,34.0,51.0,0.7785195,0.79020566,0.73920333,569.0,39.0,85.0,25.0,725.0,208.0,236.0,225.0,0.5938785,0.5546155,0.4636286,0.2524123
1,MultAdvBin4DP,29,0.719697,0.7196969696969697,0.6015658161580908,0.8456217,0.82311445,0.8079697,1107.0,117.0,352.0,144.0,228.0,79.0,44.0,41.0,0.8861579,0.911532,0.89900696,558.0,50.0,81.0,25.0,777.0,146.0,315.0,160.0,0.7065201,0.7150376,0.6937389,0.1731546
2,MultAdvBin4DP,42,0.71875,0.71875,0.5972550389348894,0.8455172,0.79368746,0.74551415,1103.0,119.0,362.0,142.0,236.0,81.0,32.0,37.0,0.8662329,0.9160163,0.955725,570.0,33.0,86.0,33.0,769.0,167.0,308.0,146.0,0.68570364,0.6780155,0.66121686,0.2674472
3,MultAdvBin4DP,55,0.71685606,0.7168560606060606,0.6195763753343454,0.94001466,0.91264135,0.94620395,1042.0,142.0,319.0,195.0,249.0,79.0,58.0,28.0,0.80402,0.8425571,0.8462069,583.0,31.0,88.0,29.0,708.0,190.0,289.0,194.0,0.72552186,0.7947328,0.7991773,0.12653412
4,MultAdvBin4DP,73,0.72111744,0.7211174242424242,0.6240897010318157,0.91378504,0.8919432,0.8920335,1056.0,179.0,290.0,187.0,242.0,82.0,38.0,38.0,0.76206154,0.79189885,0.7871537,579.0,26.0,84.0,26.0,719.0,235.0,244.0,199.0,0.6441098,0.63871276,0.6129826,0.14885835
5,MultAdvBin4EqOdds,13,0.6979167,0.6979166666666666,0.6286772486772487,0.7503588,0.73199105,0.7488502,996.0,190.0,265.0,221.0,197.0,158.0,25.0,60.0,0.71336967,0.730016,0.6944784,557.0,51.0,83.0,27.0,636.0,297.0,207.0,254.0,0.40802705,0.39296693,0.3461703,0.25650534
6,MultAdvBin4EqOdds,29,0.70028406,0.7002840909090909,0.6220279031264428,0.7268391,0.7037637,0.69532734,1046.0,178.0,297.0,199.0,174.0,133.0,25.0,60.0,0.7276902,0.7343078,0.68552136,564.0,44.0,86.0,20.0,656.0,267.0,236.0,239.0,0.39840227,0.39222002,0.35080498,0.23360613
7,MultAdvBin4EqOdds,42,0.6775568,0.6775568181818182,0.6022459176384403,0.68716186,0.6629251,0.6676156,1019.0,203.0,299.0,205.0,156.0,161.0,18.0,51.0,0.70126945,0.7411819,0.76490945,564.0,39.0,88.0,31.0,611.0,325.0,229.0,225.0,0.32232177,0.32985264,0.33797908,0.5551889
8,MultAdvBin4EqOdds,55,0.6941288,0.6941287878787878,0.6181686900743876,0.80691695,0.809993,0.8582029,1004.0,180.0,300.0,214.0,200.0,128.0,38.0,48.0,0.73788697,0.7623218,0.74422675,569.0,45.0,90.0,27.0,635.0,263.0,248.0,235.0,0.5175079,0.5286343,0.53681916,0.113468565
9,MultAdvBin4EqOdds,73,0.6756629,0.6756628787878788,0.5970201013633496,0.6933178,0.67532194,0.6788315,1019.0,216.0,285.0,192.0,161.0,163.0,21.0,55.0,0.6703045,0.6846841,0.66940284,569.0,36.0,90.0,20.0,611.0,343.0,216.0,227.0,0.28411102,0.26003665,0.21047455,0.13545665
10,MultAdvBin4EqOpp,13,0.75,0.75,0.624804181762391,0.8855263,0.8747036,0.8190269,1060.0,126.0,318.0,168.0,342.0,13.0,71.0,14.0,0.887894,0.90669817,0.8754486,576.0,32.0,86.0,24.0,826.0,107.0,303.0,158.0,0.8272643,0.83433247,0.7765205,0.4147706
11,MultAdvBin4EqOpp,29,0.7381629,0.7381628787878788,0.593113628200443,0.9275985,0.918466,0.87874764,1117.0,107.0,360.0,136.0,293.0,14.0,72.0,13.0,0.9211238,0.9437873,0.92863953,575.0,33.0,85.0,21.0,835.0,88.0,347.0,128.0,0.8594415,0.8642442,0.81463414,0.08033032
12,MultAdvBin4EqOpp,42,0.7348485,0.7348484848484849,0.5846671845216607,0.91071934,0.92448527,0.9179607,1103.0,119.0,375.0,129.0,308.0,9.0,57.0,12.0,0.9622053,0.98114234,0.98178655,560.0,43.0,88.0,31.0,851.0,85.0,344.0,110.0,0.8940064,0.91568375,0.88501745,0.11842139
13,MultAdvBin4EqOpp,55,0.74195075,0.7419507575757576,0.6085237504910288,0.8987812,0.874692,0.79725814,1084.0,100.0,356.0,158.0,316.0,12.0,77.0,9.0,0.9339591,0.9641366,0.9515315,577.0,37.0,89.0,28.0,823.0,75.0,344.0,139.0,0.87065554,0.85620195,0.7593888,0.3317646
14,MultAdvBin4EqOpp,73,0.74289775,0.7428977272727273,0.6046202383484748,0.89911216,0.9073926,0.89338523,1096.0,139.0,332.0,145.0,313.0,11.0,61.0,15.0,0.8965035,0.92451704,0.9225323,574.0,31.0,85.0,25.0,835.0,119.0,308.0,135.0,0.856585,0.878667,0.8679263,0.3603741
