,model_name,cv_seed,clas_acc,f1-micro,f1-macro,a1_dp,a1_deqodds,a1_deqopp,a2_dp,a2_deqodds,a2_deqopp,wc_spd,wc_aod,wc_eod,last_cosine_similarity
0,MultAdvBin4DP,13,0.7613636,0.7613636363636364,0.6838049113184657,0.9795455,0.9851421,0.98382956,0.69227374,0.78363687,0.69227374,0.25,0.1666666567325592,0.0,-0.1696082
1,MultAdvBin4DP,29,0.75852275,0.7585227272727273,0.6734476088841459,0.993486,0.98095834,0.9769924,0.96794,0.9385154,0.96794,0.0,0.0,0.0,-0.11307752
2,MultAdvBin4DP,42,0.77272725,0.7727272727272727,0.691443097646377,0.9487779,0.9525378,0.9340062,1.0,1.0,1.0,0.0,0.0,0.0,-0.25051117
3,MultAdvBin4DP,55,0.750947,0.7509469696969697,0.6649483478925964,0.9920623,0.95141053,0.94597775,0.5901961,0.77962184,0.5901961,0.25,0.5,0.0,-0.22191727
4,MultAdvBin4DP,73,0.7717803,0.771780303030303,0.6851154388656554,0.9401168,0.9654747,0.95622313,1.0,1.0,1.0,0.0,0.0,0.0,-0.084922224
5,MultAdvBin4EqOdds,13,0.7689394,0.7689393939393939,0.6915293399337958,0.98672247,0.97113526,0.96030015,0.739708,0.807354,0.739708,0.25,0.1666666567325592,0.0,-0.14732146
6,MultAdvBin4EqOdds,29,0.7765151,0.7765151515151515,0.6929078844412133,0.97924775,0.99365294,0.99511385,0.9889484,0.9490197,0.9889484,0.0,0.0,0.0,-0.028788716
7,MultAdvBin4EqOdds,42,0.7769886,0.7769886363636364,0.6933502058456782,0.9629561,0.9552922,0.92408556,1.0,1.0,1.0,0.0,0.0,0.0,-0.075045794
8,MultAdvBin4EqOdds,55,0.7608901,0.7608901515151515,0.6751579727708457,0.9858743,0.96809113,0.967288,0.5901961,0.76533616,0.5901961,0.25,0.5,0.0,-0.19398911
9,MultAdvBin4EqOdds,73,0.78267044,0.7826704545454546,0.6922044286762519,0.92780375,0.9521711,0.9403895,1.0,1.0,1.0,0.0,0.0,0.0,-0.110358685
10,MultAdvBin4EqOpp,13,0.74715906,0.7471590909090909,0.6698512321212157,0.88767946,0.89109594,0.8426531,0.731171,0.8030855,0.731171,0.25,0.1666666567325592,0.0,0.18376997
11,MultAdvBin4EqOpp,29,0.7438447,0.743844696969697,0.6586749769008032,0.91120076,0.9138412,0.8794829,0.39122808,0.48885298,0.39122808,0.6,0.5,0.0,0.074555874
12,MultAdvBin4EqOpp,42,0.75142044,0.7514204545454546,0.6636231560023457,0.83492935,0.83983004,0.7926156,0.33857536,0.42841178,0.33857536,0.6230769,0.5,0.0,0.17597955
13,MultAdvBin4EqOpp,55,0.7395833,0.7395833333333334,0.6557997854674972,0.8824363,0.86805433,0.7927789,0.5901961,0.7555376,0.5901961,0.25,0.5,0.0,0.4773327
14,MultAdvBin4EqOpp,73,0.74715906,0.7471590909090909,0.6558203125,0.8667523,0.871919,0.83722275,0.3521257,0.6760628,0.3521257,0.5,0.48571428563445807,0.0,0.505178
