,model_name,cv_seed,clas_acc,f1-micro,f1-macro,a1_dp,a1_deqodds,a1_deqopp,a1_TN_g0,a1_FP_g0,a1_FN_g0,a1_TP_g0,a1_TN_g1,a1_FP_g1,a1_FN_g1,a1_TP_g1,a2_dp,a2_deqodds,a2_deqopp,a2_TN_g0,a2_FP_g0,a2_FN_g0,a2_TP_g0,a2_TN_g1,a2_FP_g1,a2_FN_g1,a2_TP_g1,wc_spd,wc_aod,wc_eod,last_cosine_similarity
0,MultAdvBin4DP,13,0.69921875,0.69921875,0.5925167958656331,0.7998339,0.7586018,0.87984085,15.0,11.0,15.0,43.0,9.0,33.0,18.0,112.0,0.9339425,0.9520433,0.928648,13.0,25.0,17.0,98.0,11.0,19.0,16.0,57.0,0.75955266,0.7144937,0.84312874,-0.32378018
1,MultAdvBin4DP,29,0.70703125,0.70703125,0.6262773722627737,0.95294285,0.9229231,0.9324474,11.0,25.0,7.0,36.0,20.0,31.0,12.0,114.0,0.87437344,0.87726605,0.9236652,12.0,32.0,8.0,91.0,19.0,24.0,11.0,59.0,0.83736557,0.8094017,0.72,-0.15753013
2,MultAdvBin4DP,42,0.703125,0.703125,0.5764541971438524,0.8506088,0.83776224,0.873077,9.0,13.0,11.0,41.0,11.0,41.0,11.0,119.0,0.86839265,0.8597462,0.8816137,9.0,35.0,8.0,101.0,11.0,19.0,14.0,59.0,0.8027693,0.6894367,0.7987537,0.07700607
3,MultAdvBin4DP,55,0.6640625,0.6640625,0.5424010641835717,0.7666968,0.7575841,0.78439903,11.0,15.0,17.0,40.0,8.0,44.0,10.0,111.0,0.8672769,0.8498298,0.89965963,8.0,40.0,13.0,100.0,11.0,19.0,14.0,51.0,0.6723044,0.6452764,0.71472865,-0.08085634
4,MultAdvBin4DP,73,0.73828125,0.73828125,0.6288650870929352,0.98662657,0.9660336,0.9957035,9.0,21.0,5.0,44.0,16.0,28.0,13.0,120.0,0.8942308,0.93492067,0.9145299,11.0,24.0,8.0,109.0,14.0,25.0,10.0,55.0,0.8433049,0.8260618,0.88545686,0.15951788
5,MultAdvBin4EqOdds,13,0.703125,0.703125,0.5999671025577761,0.80564785,0.7705065,0.87984085,15.0,11.0,15.0,43.0,10.0,32.0,18.0,112.0,0.94047844,0.9465738,0.9510423,13.0,25.0,18.0,97.0,12.0,18.0,15.0,58.0,0.76817334,0.72011167,0.8543647,-0.32848966
6,MultAdvBin4EqOdds,29,0.7109375,0.7109375,0.6259969991313274,0.91768575,0.9484832,0.91657436,12.0,24.0,7.0,36.0,18.0,33.0,10.0,116.0,0.8533944,0.85580134,0.9034632,11.0,33.0,6.0,93.0,19.0,24.0,11.0,59.0,0.8035714,0.83049583,0.72,-0.23035267
7,MultAdvBin4EqOdds,42,0.69140625,0.69140625,0.5570255174679662,0.84511435,0.8223776,0.88076925,9.0,13.0,11.0,41.0,9.0,43.0,12.0,118.0,0.84561205,0.8301697,0.86791503,7.0,37.0,8.0,101.0,11.0,19.0,15.0,58.0,0.7868963,0.66312087,0.7987537,0.029222984
8,MultAdvBin4EqOdds,55,0.671875,0.671875,0.5530428999002328,0.78452533,0.7759714,0.8019429,11.0,15.0,16.0,41.0,9.0,43.0,10.0,111.0,0.8672769,0.8558217,0.8908101,9.0,39.0,12.0,101.0,11.0,19.0,14.0,51.0,0.6805689,0.6595621,0.71472865,-0.06442712
9,MultAdvBin4EqOdds,73,0.73046875,0.73046875,0.6130982367758187,0.97532713,0.9887608,0.9957035,9.0,21.0,5.0,44.0,14.0,30.0,13.0,120.0,0.8972672,0.91831505,0.93846154,9.0,26.0,9.0,108.0,14.0,25.0,9.0,56.0,0.8433049,0.83957535,0.9047619,0.20355225
10,MultAdvBin4EqOpp,13,0.71484375,0.71484375,0.6217540024692858,0.8230897,0.80622077,0.87984085,15.0,11.0,15.0,43.0,13.0,29.0,18.0,112.0,0.9113522,0.9314034,0.8838594,16.0,22.0,15.0,100.0,12.0,18.0,18.0,55.0,0.79347026,0.78366196,0.8198736,-0.39159477
11,MultAdvBin4EqOpp,29,0.703125,0.703125,0.6158888099186607,0.9359937,0.93856263,0.9245109,11.0,25.0,7.0,36.0,18.0,33.0,11.0,115.0,0.88507956,0.89547133,0.9135642,12.0,32.0,7.0,92.0,17.0,26.0,11.0,59.0,0.83736557,0.8594017,0.72,-0.22196734
12,MultAdvBin4EqOpp,42,0.68359375,0.68359375,0.5400891609554861,0.8721414,0.84895104,0.9076923,8.0,14.0,10.0,42.0,8.0,44.0,13.0,117.0,0.8650295,0.8303153,0.9136609,5.0,39.0,10.0,99.0,11.0,19.0,13.0,60.0,0.8161094,0.74465996,0.85373896,-0.012316145
13,MultAdvBin4EqOpp,55,0.6875,0.6875,0.569567044976881,0.8442789,0.8248068,0.8803828,11.0,15.0,12.0,45.0,10.0,42.0,11.0,110.0,0.9218045,0.9014324,0.9611981,10.0,38.0,13.0,100.0,11.0,19.0,10.0,55.0,0.76654744,0.7354757,0.7904762,-0.12505446
14,MultAdvBin4EqOpp,73,0.73828125,0.73828125,0.6415240244947437,0.9839091,0.95728767,0.99033296,10.0,20.0,6.0,43.0,18.0,26.0,15.0,118.0,0.88512146,0.9395604,0.8923077,13.0,22.0,9.0,108.0,15.0,24.0,12.0,53.0,0.8418803,0.86254823,0.85842985,0.19858018
